Item,Rigidity
Lipstick,1
Lizard,3
Log,4
Loon,3
Lung,2
Maglev,5
Magpie,3
Manager,2
Mane,2
Map,2
Maple,5
Marsh,2
Mascara,1
Mask,3
Mast,3
Mattress,2
Medal,5
Meerkat,2
Megaphone,3
Merchant,2
Microphone,3
Minister,2
Minivan,5
Moat,4
Mohawk,1
Monk,2
Monkey,2
Moon,5
Moose,3
Moth,2
Motor,5
Mottled,3
Mountain,4
Mud,1
Mug,3
Mule,3
Museum,4
Musk,1
Myna,2
Nail,5
Nave,4
Necklace,3
Needle,3
Nest,3
Nettle,2
Northern,3
Notebook,3
Nun,2
Nurse,2
Oak,5
Oats,2
Ocean,1
Officer,5
Oil,1
Orange,2
Oriole,2
Otter,3
Oven,5
Ox,3
Pail,4
Palm,4
Panther,3
Pants,2
Papaya,2
Park,3
Parrot,2
Path,4
Patient,2
Paw,3
Pea,2
Peach,2
Peacock,2
Pebble,3
Pelican,2
Pencil,4
Penguin,2
Pepper,2
Perfume,1
Petrel,2
Pheasant,2
Phone,5
Piano,5
Pickaxe,5
Pier,4
Pillow,2
Pilot,2
Pine,5
Pinecone,4
Pipe,3
Pipit,2
Pirate,2
Pistol,5
Pit,3
Pixie,2
Plank,4
Plastic,3
Plate,4
Pliers,4
Plover,2
Plow,5
Plum,2
Poncho,2
Pond,1
Pope,2
Porcupine,3
Poster,2
Potato,3
Powder,1
President,2
Priest,2
Prince,2
Princess,2
Printer,4
Prophet,2
Puddle,1
Puffbird,3
Puffin,3
Pulley,3
Pup,2
Purse,3
Quail,2
Queen,2
Quill,2
Quilt,2
Rabbit,2
Rack,4
Radio,3
Radish,3
Rain,1
Raindrop,1
Rake,5
Ram,3
Rat,2
Raven,3
Razor,4
Redwood,5
Retainer,3
Rider,2
Rifle,5
Ring,4
Road,4
Robber,2
Robe,3
Robot,5
Rock,4
Rock,4
Rocket,5
Roller,3
Roof,5
Rope,3
Router,3
Rubber,3
Ruby,5
Rudder,3
Rug,3
Runner,2
Rusty,3
Sail,2
Saint,2
Sand,2
Sand,2
Sari,2
Satellite,5
Savannah,3
Saw,5
Scaler,3
Scalpel,3
Scarf,2
School,4
Scientist,2
Seagull,2
Seal,3
Seashell,3
Seaweed,1
Sergeant,4
Shaft,4
Shampoo,1
Shark,3
Shears,4
Shearwater,2
Sheet,2
Shelf,5
Shield,5
Shirt,2
Shoes,3
Shopkeeper,2
Shovel,5
Shower,5
Shrub,3
Sign,4
Silk,2
Silver,5
Sink,5
Skater,2
Skeleton,4
Skier,2
Skimmer,2
Skunk,2
Sledge,4
Slipper,3
Sloth,2
Slug,2
Smartwatch,3
Snake,3
Snorkel,2
Snow,1
Snowflake,1
Snowplow,5
Soapstone,4
Soil,2
Soldier,4
Soot,1
Soul,1
Spark,1
Sparrow,2
Spatula,3
Spider,2
Spinach,1
Spirit,1
Splint,3
Spoon,5
Spotted,3
Spruce,5
Spyglass,3
Square,4
Squash,3
Squire,2
Star,5
Starling,2
Starship,5
Steeple,4
Stick,3
Stone,4
Stool,3
Stork,2
Storm,1
Stove,5
Street,4
String,2
Student,2
Submarine,5
Suitcase,4
Sun,5
Surfer,2
Surgeon,2
Swallow,2
Swan,2
Swimmer,2
Switch,4
Sword,5
Sword,5
Syringe,3
Table,4
Tablet,3
Tail,3
Tallit,3
Tank,5
Tank,5
Tawny,3
Teacher,2
Tent,4
Tern,2
Thermometer,3
Thrush,2
Thunder,1
Tiara,3
Tie,2
Tin,4
Toilet,5
Tomato,2
Tool,4
Toolbox,4
Tooth,4
Toothpick,2
Tornado,1
Tourist,2
Tourniquet,3
Tow,5
Towel,2
Town,3
Tractor,5
Trader,2
Train,5
Tree,4
Trophy,5
Tube,3
Tundra,2
Turkey,2
Turnip,3
Turtle,4
Twig,3
Unicorn,2
Urn,3
Vampire,2
Vase,3
Vest,3
Vice,4
Village,3
Villager,2
Vine,3
Violin,4
Vise,5
Vulture,3
Walker,4
Wall,5
Wallet,3
Warbler,2
Warrior,4
Wasp,3
Watch,4
Waterwheel,4
Wave,1
Waxwing,2
Weasel,2
Web,2
Werewolf,2
Whale,3
Wharf,4
Wheel,4
Whisk,3
Wig,1
Willow,4
Winch,4
Wind,1
Windmill,4
Window,5
Wizard,2
Wok,4
Wood,4
Woodpecker,3
Wryneck,3
Yak,4
Zinc,5
Zombie,2
Zoo,3
