verb,subject,label
help,man,1.0
help,person,1.0
help,nurse,1.0
hike,man,1.0
hike,woman,1.0
hike,person,1.0
hike,couple,1.0
hit,player,1.0
hit,person,1.0
hit,wave,1.0
hit,man,1.0
hit,athlete,1.0
hit,woman,1.0
hit,cricketer,1.0
hit,golfer,1.0
hit,club,1.0
hit,car,1.0
hitchhike,woman,1.0
hold,person,1.0
hold,woman,1.0
hold,mother,1.0
hold,father,1.0
hold,actor,1.0
hold,player,1.0
hold,boy,1.0
hold,hand,1.0
hold,chef,1.0
hold,footballer,1.0
hold,parent,1.0
hold,athlete,1.0
hold,coach,1.0
hold,doctor,1.0
hold,fan,1.0
hold,groom,1.0
hold,student,1.0
hold,businessman,1.0
hold,protest,1.0
hold,protester,1.0
hold,team,1.0
hold,baby,1.0
hold,golfer,1.0
hold,bridesmaid,1.0
hold,dog,1.0
hold,politician,1.0
hold,supporter,1.0
hover,cloud,1.0
hover,bee,1.0
huddle,team,1.0
huddle,player,1.0
hug,person,1.0
hug,couple,1.0
hug,woman,1.0
hug,mother,1.0
hug,bride,1.0
hug,girl,1.0
hug,boy,1.0
hug,child,1.0
hug,player,1.0
insert,hand,1.0
instruct,coach,1.0
instruct,player,1.0
jog,woman,1.0
jog,man,1.0
jog,couple,1.0
jog,player,1.0
jog,girl,1.0
join,player,1.0
jump,man,1.0
jump,girl,1.0
jump,woman,1.0
jump,boy,1.0
jump,silhouette,1.0
jump,dog,1.0
jump,friend,1.0
jump,footballer,1.0
jump,animal,1.0
kayak,man,1.0
keep,player,1.0
keep,actor,1.0
kick,player,1.0
kick,person,1.0
kick,athlete,1.0
kick,girl,1.0
kick,boy,1.0
kick,footballer,1.0
kick,goalkeeper,1.0
kick,man,1.0
kick,coach,1.0
kiss,couple,1.0
kiss,man,1.0
kiss,person,1.0
kiss,girl,1.0
kiss,mother,1.0
kiss,actor,1.0
kiss,father,1.0
kiss,woman,1.0
kneel,player,1.0
kneel,woman,1.0
kneel,man,1.0
knock,girl,1.0
knock,boxer,1.0
knock,ball,1.0
laugh,bride,1.0
laugh,woman,1.0
laugh,player,1.0
laugh,person,1.0
laugh,girl,1.0
laugh,man,1.0
launch,model,1.0
lay,person,1.0
lay,dog,1.0
lay,boy,1.0
lay,girl,1.0
lay,puppy,1.0
lay,man,1.0
lay,animal,1.0
lay,player,1.0
lay,couple,1.0
lay,baby,1.0
lay,kid,1.0
lay,child,1.0
lay,family,1.0
lay,mother,1.0
lay,fox,1.0
lay,deer,1.0
lead,person,1.0
lead,man,1.0
lead,girl,1.0
lead,woman,1.0
lean,woman,1.0
lean,person,1.0
lean,girl,1.0
lean,boy,1.0
lean,actor,1.0
lean,businessman,1.0
leap,person,1.0
leap,dolphin,1.0
leap,dancer,1.0
leap,player,1.0
leap,animal,1.0
learn,student,1.0
leave,player,1.0
leave,boat,1.0
leave,bride,1.0
leave,ship,1.0
leave,artist,1.0
leave,car,1.0
leave,ferry,1.0
leave,train,1.0
leave,actor,1.0
leave,celebrity,1.0
lie,girl,1.0
lie,man,1.0
lie,dog,1.0
lie,cat,1.0
lie,boy,1.0
lie,puppy,1.0
lie,animal,1.0
lie,mother,1.0
lie,family,1.0
lie,retriever,1.0
lie,cow,1.0
lie,goat,1.0
lie,player,1.0
lie,businessman,1.0
lie,baby,1.0
lie,child,1.0
lie,pug,1.0
lie,student,1.0
lie,cub,1.0
lie,deer,1.0
lie,father,1.0
lie,friend,1.0
lie,boat,1.0
lie,kid,1.0
lie,lamb,1.0
lie,leopard,1.0
lie,lion,1.0
lift,team,1.0
lift,footballer,1.0
lift,person,1.0
lift,woman,1.0
lift,golfer,1.0
light,firefighter,1.0
light,moon,1.0
light,fan,1.0
line,car,1.0
line,player,1.0
line,golfer,1.0
line,person,1.0
line,tree,1.0
line,crowd,1.0
link,bridge,1.0
listen,person,1.0
listen,player,1.0
look,person,1.0
look,player,1.0
look,woman,1.0
look,man,1.0
look,girl,1.0
look,child,1.0
look,actor,1.0
look,artist,1.0
look,coach,1.0
look,dog,1.0
look,boy,1.0
look,doctor,1.0
look,puppy,1.0
look,bride,1.0
look,lady,1.0
loom,cloud,1.0
lose,player,1.0
make,person,1.0
make,girl,1.0
make,woman,1.0
make,player,1.0
make,family,1.0
march,person,1.0
march,soldier,1.0
marry,person,1.0
marry,actor,1.0
meet,player,1.0
meet,person,1.0
miss,player,1.0
mix,woman,1.0
moor,yacht,1.0
move,boat,1.0
move,cloud,1.0
move,player,1.0
move,grass,1.0
move,species,1.0
move,athlete,1.0
move,fog,1.0
move,person,1.0
move,star,1.0
move,wind,1.0
move,ship,1.0
navigate,boat,1.0
navigate,yacht,1.0
nestle,person,1.0
nibble,cow,1.0
observe,player,1.0
offer,hand,1.0
open,man,1.0
open,woman,1.0
open,girl,1.0
open,artist,1.0
open,hand,1.0
pace,coach,1.0
paddle,woman,1.0
paddle,fisherman,1.0
paddle,man,1.0
paint,hand,1.0
paint,man,1.0
paint,fan,1.0
pair,person,1.0
parade,child,1.0
park,car,1.0
park,motorcycle,1.0
participate,person,1.0
participate,player,1.0
participate,team,1.0
pass,player,1.0
pass,car,1.0
pass,person,1.0
pass,truck,1.0
pass,ferry,1.0
pass,team,1.0
pass,boat,1.0
pass,man,1.0
pass,cloud,1.0
pass,footballer,1.0
pass,vehicle,1.0
pass,road,1.0
peer,child,1.0
peer,person,1.0
perch,person,1.0
perch,bird,1.0
perch,animal,1.0
perch,vulture,1.0
perform,person,1.0
perform,artist,1.0
perform,athlete,1.0
perform,dancer,1.0
perform,man,1.0
perform,woman,1.0
perform,songwriter,1.0
perform,vocalist,1.0
perform,politician,1.0
perform,guitarist,1.0
perform,composer,1.0
perform,musician,1.0
perform,player,1.0
perform,team,1.0
perform,bassist,1.0
perform,couple,1.0
perform,novelist,1.0
perform,actress,1.0
perform,dramatist,1.0
perform,entertainer,1.0
perform,girl,1.0
perform,model,1.0
pet,man,1.0
pet,girl,1.0
pick,hand,1.0
pick,person,1.0
pick,woman,1.0
pick,man,1.0
pick,student,1.0
pick,girl,1.0
pick,player,1.0
picture,player,1.0
picture,actor,1.0
pitch,person,1.0
pitch,politician,1.0
place,woman,1.0
place,girl,1.0
place,politician,1.0
plant,man,1.0
plant,person,1.0
plant,woman,1.0
plant,child,1.0
play,person,1.0
play,player,1.0
play,artist,1.0
play,kid,1.0
play,woman,1.0
play,boy,1.0
play,mother,1.0
play,child,1.0
play,composer,1.0
play,parent,1.0
play,beach,1.0
play,elephant,1.0
play,couple,1.0
play,friend,1.0
play,toddler,1.0
play,animal,1.0
play,family,1.0
play,musician,1.0
play,actor,1.0
play,golfer,1.0
plough,farmer,1.0
plough,tractor,1.0
plow,farmer,1.0
plow,tractor,1.0
point,man,1.0
point,person,1.0
portray,actor,1.0
pose,person,1.0
pose,actor,1.0
pose,player,1.0
pose,artist,1.0
pose,coach,1.0
pose,athlete,1.0
pose,model,1.0
pose,team,1.0
pose,comedian,1.0
pose,teacher,1.0
pose,footballer,1.0
pose,fan,1.0
pose,winner,1.0
pose,woman,1.0
pose,scriptwriter,1.0
pose,singer,1.0
pour,girl,1.0
pour,woman,1.0
pour,man,1.0
pour,person,1.0
pour,water,1.0
pour,bartender,1.0
pour,honey,1.0
practice,player,1.0
praise,player,1.0
prepare,player,1.0
prepare,team,1.0
prepare,woman,1.0
prepare,girl,1.0
prepare,man,1.0
prepare,person,1.0
prepare,fisherman,1.0
prepare,food,1.0
prepare,chef,1.0
present,model,1.0
present,person,1.0
present,actor,1.0
present,athlete,1.0
present,artist,1.0
propose,person,1.0
protect,player,1.0
pull,man,1.0
pull,boat,1.0
pull,girl,1.0
pull,woman,1.0
pull,fisherman,1.0
pull,player,1.0
pull,father,1.0
pump,woman,1.0
punch,player,1.0
punch,goalkeeper,1.0
punt,player,1.0
punt,person,1.0
pursue,person,1.0
push,player,1.0
push,man,1.0
push,person,1.0
push,woman,1.0
push,doctor,1.0
push,nurse,1.0
push,father,1.0
push,fisherman,1.0
push,boy,1.0
put,person,1.0
put,man,1.0
put,golfer,1.0
put,groom,1.0
put,businessman,1.0
put,girl,1.0
put,doctor,1.0
race,car,1.0
raise,man,1.0
raise,player,1.0
raise,person,1.0
raise,woman,1.0
raise,hand,1.0
raise,businessman,1.0
raise,girl,1.0
raise,arm,1.0
raise,child,1.0
raise,boy,1.0
reach,person,1.0
reach,player,1.0
reach,athlete,1.0
reach,woman,1.0
react,player,1.0
react,coach,1.0
react,athlete,1.0
read,man,1.0
read,student,1.0
read,person,1.0
read,woman,1.0
read,girl,1.0
read,teacher,1.0
read,boy,1.0
read,father,1.0
read,guy,1.0
ready,player,1.0
receive,person,1.0
receive,actor,1.0
receive,team,1.0
recline,woman,1.0
relax,man,1.0
relax,woman,1.0
relax,person,1.0
release,person,1.0
rest,person,1.0
rest,woman,1.0
rest,man,1.0
rest,dog,1.0
rest,animal,1.0
rest,cat,1.0
rest,couple,1.0
rest,girl,1.0
rest,bird,1.0
rest,cow,1.0
rest,lion,1.0
rest,seagull,1.0
rest,bear,1.0
rest,species,1.0
reveal,model,1.0
ride,man,1.0
ride,girl,1.0
ride,woman,1.0
ride,couple,1.0
ride,fisherman,1.0
ride,actor,1.0
ride,boy,1.0
ride,motorcycle,1.0
ripen,peach,1.0
ripen,tomato,1.0
ripen,grape,1.0
rise,sun,1.0
rise,moon,1.0
rise,galaxy,1.0
rise,building,1.0
rise,smoke,1.0
roam,horse,1.0
rock,boat,1.0
roll,wave,1.0
roll,person,1.0
roll,dog,1.0
roost,species,1.0
rotate,person,1.0
rub,person,1.0
run,person,1.0
run,woman,1.0
run,boy,1.0
run,child,1.0
run,player,1.0
run,kid,1.0
run,dog,1.0
run,couple,1.0
run,horse,1.0
run,animal,1.0
run,athlete,1.0
run,mother,1.0
run,puppy,1.0
run,train,1.0
run,water,1.0
run,foal,1.0
run,bride,1.0
run,car,1.0
run,football,1.0
run,family,1.0
run,footballer,1.0
run,species,1.0
run,wolf,1.0
run,road,1.0
run,brother,1.0
run,midfielder,1.0
run,friend,1.0
run,shortstop,1.0
run,artist,1.0
rush,person,1.0
rush,wave,1.0
sail,boat,1.0
sail,person,1.0
sail,ship,1.0
sail,man,1.0
salute,person,1.0
save,player,1.0
save,person,1.0
save,goalkeeper,1.0
saw,person,1.0
saw,man,1.0
score,athlete,1.0
score,footballer,1.0
score,teammate,1.0
score,winger,1.0
score,striker,1.0
scramble,person,1.0
scream,man,1.0
seat,couple,1.0
seat,man,1.0
seat,girl,1.0
see,player,1.0
see,woman,1.0
see,actor,1.0
seem,person,1.0
sell,man,1.0
sell,girl,1.0
send,person,1.0
serve,player,1.0
serve,woman,1.0
serve,chef,1.0
set,sun,1.0
set,player,1.0
shake,girl,1.0
shake,businessman,1.0
shake,species,1.0
shake,man,1.0
shake,politician,1.0
shake,wind,1.0
shake,dog,1.0
shake,flower,1.0
shake,player,1.0
shine,sun,1.0
shine,star,1.0
shine,person,1.0
shine,actor,1.0
shoot,player,1.0
shoot,person,1.0
shop,person,1.0
shop,woman,1.0
shout,coach,1.0
shout,footballer,1.0
shout,protester,1.0
shout,girl,1.0
show,man,1.0
show,woman,1.0
show,girl,1.0
show,actor,1.0
show,businessman,1.0
show,fan,1.0
show,artist,1.0
show,athlete,1.0
show,boy,1.0
show,hand,1.0
show,model,1.0
show,tree,1.0
sign,person,1.0
sign,student,1.0
sing,person,1.0
sing,artist,1.0
sing,woman,1.0
sing,girl,1.0
sing,fan,1.0
sing,musician,1.0
sing,student,1.0
sit,woman,1.0
sit,man,1.0
sit,person,1.0
sit,girl,1.0
sit,boy,1.0
sit,child,1.0
sit,mother,1.0
sit,kid,1.0
sit,animal,1.0
sit,couple,1.0
sit,lady,1.0
sit,cat,1.0
sit,father,1.0
sit,bride,1.0
sit,guy,1.0
sit,family,1.0
sit,kitten,1.0
sit,teenager,1.0
sit,businesswoman,1.0
sit,student,1.0
sit,player,1.0
sit,bird,1.0
sit,goat,1.0
sit,boat,1.0
sit,hiker,1.0
sit,tourist,1.0
sit,actor,1.0
sit,lion,1.0
sit,fox,1.0
sit,friend,1.0
sit,pilot,1.0
sit,camel,1.0
sit,car,1.0
sit,seal,1.0
sit,surfer,1.0
sit,train,1.0
sit,cow,1.0
sit,squirrel,1.0
sit,eye,1.0
sit,frog,1.0
sit,grasshopper,1.0
sit,statue,1.0
sit,teacher,1.0
skate,player,1.0
skate,athlete,1.0
skate,person,1.0
sleep,man,1.0
sleep,girl,1.0
sleep,student,1.0
sleep,boy,1.0
sleep,person,1.0
sleep,cat,1.0
slice,chef,1.0
slice,woman,1.0
slide,player,1.0
slide,person,1.0
smash,player,1.0
smell,girl,1.0
smell,man,1.0
smile,woman,1.0
smile,player,1.0
smile,person,1.0
smile,girl,1.0
smile,man,1.0
smile,actor,1.0
smile,boy,1.0
smile,footballer,1.0
smile,bride,1.0
smile,coach,1.0
snake,person,1.0
snap,person,1.0
sniff,girl,1.0
sniff,dog,1.0
speak,player,1.0
speak,person,1.0
speak,man,1.0
speak,girl,1.0
speak,coach,1.0
speak,doctor,1.0
speak,politician,1.0
speed,man,1.0
speed,car,1.0
spin,player,1.0
spin,person,1.0
spin,spider,1.0
splash,water,1.0
splash,girl,1.0
splash,woman,1.0
splash,man,1.0
splash,elephant,1.0
splash,boy,1.0
spot,actor,1.0
spot,player,1.0
spot,person,1.0
spray,elephant,1.0
sprinkle,tractor,1.0
stain,person,1.0
stand,woman,1.0
stand,man,1.0
stand,girl,1.0
stand,person,1.0
stand,dog,1.0
stand,boy,1.0
stand,child,1.0
stand,player,1.0
stand,puppy,1.0
stand,couple,1.0
stand,animal,1.0
stand,businessman,1.0
stand,father,1.0
stand,bride,1.0
stand,horse,1.0
stand,soldier,1.0
stand,mother,1.0
stand,family,1.0
stand,cow,1.0
stand,lady,1.0
stand,student,1.0
stand,worker,1.0
stand,bear,1.0
stand,fisherman,1.0
stand,goat,1.0
stand,boat,1.0
stand,calf,1.0
stand,lamb,1.0
stand,surfer,1.0
stand,tourist,1.0
stand,bird,1.0
stand,cat,1.0
stand,cup,1.0
stand,seagull,1.0
stand,coach,1.0
stand,penguin,1.0
stand,teacher,1.0
stand,team,1.0
stand,train,1.0
stand,airplane,1.0
stand,farmer,1.0
stand,hornbill,1.0
stand,statue,1.0
stare,man,1.0
stare,woman,1.0
stare,boy,1.0
stare,dog,1.0
stay,woman,1.0
steal,person,1.0
steal,player,1.0
step,actor,1.0
step,person,1.0
stick,car,1.0
stop,car,1.0
stop,player,1.0
stop,winner,1.0
stretch,player,1.0
stretch,woman,1.0
stretch,person,1.0
stretch,man,1.0
strike,person,1.0
string,hammock,1.0
stroll,person,1.0
stroll,woman,1.0
stroll,couple,1.0
stroll,actor,1.0
stroll,tourist,1.0
struggle,player,1.0
struggle,person,1.0
study,girl,1.0
study,student,1.0
study,person,1.0
study,man,1.0
stun,actor,1.0
stun,artist,1.0
style,person,1.0
substitute,player,1.0
sunbathe,person,1.0
sunbathe,man,1.0
sunbathe,woman,1.0
support,fan,1.0
support,person,1.0
support,man,1.0
surround,road,1.0
sway,tree,1.0
sway,flag,1.0
sway,flower,1.0
sway,grass,1.0
sweep,man,1.0
swim,person,1.0
swim,boy,1.0
swim,woman,1.0
swim,child,1.0
swim,dolphin,1.0
swim,fish,1.0
swim,kid,1.0
swim,swan,1.0
swim,whale,1.0
swing,player,1.0
swirl,cloud,1.0
switch,person,1.0
take,person,1.0
take,player,1.0
take,man,1.0
take,actor,1.0
take,hand,1.0
take,mother,1.0
take,athlete,1.0
take,team,1.0
take,boy,1.0
take,soldier,1.0
take,student,1.0
take,child,1.0
take,doctor,1.0
take,lady,1.0
take,someone,1.0
take,couple,1.0
talk,man,1.0
talk,person,1.0
talk,businessman,1.0
talk,coach,1.0
talk,actor,1.0
talk,businesswoman,1.0
talk,politician,1.0
tap,person,1.0
teach,person,1.0
teach,teacher,1.0
team,person,1.0
tell,person,1.0
thank,person,1.0
think,man,1.0
throw,athlete,1.0
throw,man,1.0
throw,woman,1.0
throw,goalkeeper,1.0
throw,boy,1.0
throw,bride,1.0
throw,girl,1.0
throw,coach,1.0
throw,fisherman,1.0
tie,boat,1.0
tie,horse,1.0
toast,person,1.0
toss,person,1.0
toss,woman,1.0
toss,bride,1.0
tow,truck,1.0
tow,tractor,1.0
track,person,1.0
train,player,1.0
transport,barge,1.0
travel,person,1.0
travel,car,1.0
travel,horse,1.0
travel,boat,1.0
travel,man,1.0
travel,truck,1.0
travel,passenger,1.0
travel,train,1.0
trek,woman,1.0
trim,man,1.0
trot,animal,1.0
try,girl,1.0
try,person,1.0
try,woman,1.0
try,actor,1.0
turn,person,1.0
turn,woman,1.0
turn,girl,1.0
turn,tree,1.0
type,woman,1.0
use,woman,1.0
use,doctor,1.0
use,boy,1.0
use,player,1.0
use,girl,1.0
use,child,1.0
use,father,1.0
use,lady,1.0
vie,player,1.0
vie,person,1.0
vie,midfielder,1.0
vie,defender,1.0
vie,athlete,1.0
view,person,1.0
visit,person,1.0
visit,doctor,1.0
wade,woman,1.0
wade,person,1.0
wade,man,1.0
wade,species,1.0
wade,boy,1.0
walk,person,1.0
walk,girl,1.0
walk,player,1.0
walk,kid,1.0
walk,lady,1.0
walk,businessman,1.0
walk,soldier,1.0
walk,father,1.0
walk,dog,1.0
walk,daughter,1.0
walk,cat,1.0
walk,family,1.0
walk,puppy,1.0
walk,animal,1.0
walk,species,1.0
walk,athlete,1.0
walk,worker,1.0
walk,beach,1.0
walk,coach,1.0
walk,cub,1.0
walk,girlfriend,1.0
walk,silhouette,1.0
walk,teenager,1.0
walk,umbrella,1.0
walk,horse,1.0
walk,sister,1.0
walk,team,1.0
walk,actor,1.0
walk,brother,1.0
walk,farmer,1.0
walk,friend,1.0
walk,hiker,1.0
walk,road,1.0
walk,wolf,1.0
walk,baby,1.0
walk,penguin,1.0
walk,surfer,1.0
walk,elephant,1.0
walk,kitten,1.0
walk,ant,1.0
wander,person,1.0
wander,girl,1.0
warm,player,1.0
warm,girl,1.0
warm,team,1.0
wash,man,1.0
wash,woman,1.0
wash,girl,1.0
wash,boy,1.0
wash,child,1.0
