Item,label
Magpie,2
Manager,3
Mane,1
Map,0
Marble,2
Marsh,4
Mascara,0
Mask,1
Mast,2
Mat,1
Mattress,2
Medal,0
Meerkat,2
Megaphone,2
Menorah,2
Merchant,2
Microphone,1
Minister,3
Mirror,1
Modem,1
Mohawk,0
Mongoose,2
Monk,2
Monkey,2
Moon,5
Moose,3
Mottled,2
Mountain,5
Mouse,0
Mouthwash,0
Mud,1
Mug,1
Mule,3
Museum,4
Mushroom,0
Musician,2
Musk,0
Myna,2
Nail,0
Nave,4
Nebulizer,0
Necklace,0
Needle,0
Nettle,0
Northern,2
Nun,2
Nurse,3
Nursery,3
Oak,3
Oats,0
Ocean,5
Officer,3
Oil,1
Oilbird,1
Onion,0
Orange,0
Orc,2
Owl,2
Pail,2
Pan,2
Panda,2
Panther,2
Papaya,0
Paper,0
Park,4
Parrot,1
Path,4
Patient,2
Paw,1
Pea,0
Peach,0
Peacock,2
Pear,0
Peasant,2
Pencil,0
Penguin,2
Pepper,0
Petrel,2
Pharmacy,2
Pheasant,2
Phone,0
Pickaxe,2
Pier,3
Pillow,1
Pilot,3
Pine,3
Pinecone,0
Pipe,1
Pipit,2
Pirate,3
Pistol,1
Pixie,0
Plank,2
Plate,0
Pliers,1
Plover,2
Plow,3
Plum,0
Pond,3
Pope,3
Porcupine,2
Poster,1
Potato,0
Powder,0
President,3
Priest,3
Princess,2
Printer,2
Prophet,3
Puddle,0
Puffbird,1
Puffin,2
Pulley,2
Pumpkin,2
Pup,1
Quail,1
Queen,3
Quill,0
Quilt,1
Rabbi,3
Racket,2
Radio,2
Radish,0
Rain,0
Rat,1
Razor,0
Redwood,4
Reef,5
Retainer,0
Retractor,0
Rice,0
Rider,2
Rifle,2
River,5
Road,4
Robe,1
Robin,2
Robot,3
Rock,1
Rocket,4
Roof,3
Rope,1
Rosary,1
Router,1
Rowboat,2
Rudder,2
Runner,2
Rusty,2
Sail,1
Sailor,3
Saint,3
Sand,0
Sand,1
Sandpiper,2
Sapphire,0
Sari,1
Satellite,4
Savannah,4
Saw,2
Scaler,0
Scalpel,0
School,4
Scientist,3
Scissors,0
Screech,1
Screw,0
Scrubs,1
Seagull,2
Seashell,0
Sergeant,3
Shadow,3
Shaft,2
Shag,2
Shampoo,0
Shark,3
Shears,1
Shearwater,2
Sheep,2
Shelf,2
Shield,1
Shirt,0
Shoes,1
Shovel,2
Shower,2
Shrike,2
Shrub,2
Sign,2
Silk,0
Silver,0
Sink,2
Skater,2
Skier,2
Skimmer,2
Sledge,2
Sloth,2
Slug,0
Smartwatch,0
Smoke,3
Snake,1
Snorkel,0
Snow,0
Snowflake,0
Snowplow,3
Snowy,1
Soap,0
Sofa,3
Soil,0
Soldier,3
Soot,0
Soul,3
Spacer,1
Spade,2
Spark,0
Sparrow,1
Speakers,2
Spear,2
Spider,0
Spirit,3
Splint,1
Spoon,0
Spoonbill,2
Spruce,3
Spy,2
Spyglass,1
Square,4
Squash,2
Squire,2
Star,5
Starling,2
Station,5
Steel,1
Steeple,4
Stick,1
Stone,1
Stork,2
Stove,2
Street,4
String,0
Student,2
Submarine,4
Suitcase,2
Surgeon,3
Swallow,2
Swamp,4
Swan,1
Swimmer,2
Syringe,0
Tablet,1
Tallit,1
Tank,3
Tank,3
Teacher,3
Tent,2
Tern,2
Thermometer,0
Thrush,2
Tiara,0
Tie,0
Tiger,2
Tomato,0
Tool,2
Toolbox,2
Tooth,1
Toothpaste,0
Toothpick,0
Tornado,4
Toucan,1
Tourist,2
Tourniquet,1
Towel,1
Tower,4
Tractor,3
Traveler,2
Tree,4
Trophy,1
Tube,1
Tundra,5
Turkey,2
Turnip,0
Turtle,1
Tweezers,0
Twig,0
Unicorn,3
Urn,1
Vampire,3
Vase,2
Vehicle,3
Vendor,2
Vest,1
Vice,2
Village,4
Vine,1
Violin,2
Vise,2
Visitor,2
Vulture,2
Walker,2
Wall,3
Wallet,0
Warbler,1
Warrior,3
Wasp,0
Watch,0
Waterwheel,4
Wave,1
Waxwing,2
Weasel,2
Web,0
Werewolf,3
Whale,5
Wharf,4
Wheat,0
Wheel,2
Whisk,1
Wig,0
Wind,0
Windmill,4
Window,3
Wing,2
Wire,1
Wok,2
Wolf,2
Wood,2
Woodpecker,2
Wool,0
Wrench,1
Wryneck,1
Yak,3
Zebra,2
Zeppelin,5
Zinc,2
Zombie,3
Zoo,4
