Item,label
Magpie,4
Manager,5
Mane,1
Map,1
Marble,1
Marsh,2
Mascara,1
Mask,1
Mast,1
Mat,1
Mattress,1
Medal,1
Meerkat,4
Megaphone,1
Menorah,1
Merchant,5
Microphone,1
Minister,5
Mirror,1
Modem,1
Mohawk,1
Mongoose,4
Monk,5
Monkey,4
Moon,1
Moose,4
Mottled,1
Mountain,1
Mouse,4
Mouthwash,1
Mud,1
Mug,1
Mule,4
Museum,1
Mushroom,3
Musician,5
Musk,1
Myna,4
Nail,1
Nave,1
Nebulizer,1
Necklace,1
Needle,1
Nettle,2
Northern,4
Nun,5
Nurse,5
Nursery,1
Oak,2
Oats,2
Ocean,1
Officer,5
Oil,1
Oilbird,4
Onion,1
Orange,1
Orc,4
Owl,4
Pail,1
Pan,1
Panda,4
Panther,4
Papaya,1
Paper,1
Park,1
Parrot,4
Path,1
Patient,5
Paw,1
Pea,1
Peach,1
Peacock,4
Pear,1
Peasant,5
Pencil,1
Penguin,4
Pepper,1
Petrel,4
Pharmacy,1
Pheasant,4
Phone,1
Pickaxe,1
Pier,1
Pillow,1
Pilot,5
Pine,2
Pinecone,1
Pipe,1
Pipit,4
Pirate,5
Pistol,1
Pixie,4
Plank,1
Plate,1
Pliers,1
Plover,4
Plow,1
Plum,1
Pond,1
Pope,5
Porcupine,4
Poster,1
Potato,1
Powder,1
President,5
Priest,5
Princess,5
Printer,1
Prophet,5
Puddle,1
Puffbird,4
Puffin,4
Pulley,1
Pumpkin,1
Pup,4
Quail,4
Queen,5
Quill,1
Quilt,1
Rabbi,5
Racket,1
Radio,1
Radish,1
Rain,1
Rat,4
Razor,1
Redwood,2
Reef,2
Retainer,1
Retractor,1
Rice,2
Rider,5
Rifle,1
River,1
Road,1
Robe,1
Robin,4
Robot,5
Rock,1
Rocket,5
Roof,1
Rope,1
Rosary,1
Router,1
Rowboat,5
Rudder,1
Runner,5
Rusty,1
Sail,1
Sailor,5
Saint,5
Sand,1
Sand,1
Sandpiper,4
Sapphire,1
Sari,1
Satellite,5
Savannah,2
Saw,1
Scaler,1
Scalpel,1
School,1
Scientist,5
Scissors,1
Screech,1
Screw,1
Scrubs,1
Seagull,4
Seashell,1
Sergeant,5
Shadow,1
Shaft,1
Shag,4
Shampoo,1
Shark,4
Shears,1
Shearwater,4
Sheep,4
Shelf,1
Shield,1
Shirt,1
Shoes,1
Shovel,1
Shower,1
Shrike,4
Shrub,2
Sign,1
Silk,1
Silver,1
Sink,1
Skater,5
Skier,5
Skimmer,4
Sledge,1
Sloth,4
Slug,4
Smartwatch,1
Smoke,1
Snake,4
Snorkel,1
Snow,1
Snowflake,1
Snowplow,5
Snowy,1
Soap,1
Sofa,1
Soil,1
Soldier,5
Soot,1
Soul,1
Spacer,1
Spade,1
Spark,1
Sparrow,4
Speakers,1
Spear,1
Spider,4
Spirit,1
Splint,1
Spoon,1
Spoonbill,4
Spruce,2
Spy,5
Spyglass,1
Square,1
Squash,1
Squire,5
Star,1
Starling,4
Station,1
Steel,1
Steeple,1
Stick,1
Stone,1
Stork,4
Stove,1
Street,1
String,1
Student,5
Submarine,5
Suitcase,1
Surgeon,5
Swallow,4
Swamp,1
Swan,4
Swimmer,5
Syringe,1
Tablet,1
Tallit,1
Tank,5
Tank,5
Teacher,5
Tent,1
Tern,4
Thermometer,1
Thrush,4
Tiara,1
Tie,1
Tiger,4
Tomato,1
Tool,1
Toolbox,1
Tooth,1
Toothpaste,1
Toothpick,1
Tornado,1
Toucan,4
Tourist,5
Tourniquet,1
Towel,1
Tower,1
Tractor,5
Traveler,5
Tree,2
Trophy,1
Tube,1
Tundra,1
Turkey,4
Turnip,1
Turtle,4
Tweezers,1
Twig,1
Unicorn,4
Urn,1
Vampire,4
Vase,1
Vehicle,5
Vendor,5
Vest,1
Vice,1
Village,1
Vine,2
Violin,1
Vise,1
Visitor,5
Vulture,4
Walker,5
Wall,1
Wallet,1
Warbler,4
Warrior,5
Wasp,4
Watch,1
Waterwheel,1
Wave,1
Waxwing,4
Weasel,4
Web,1
Werewolf,4
Whale,4
Wharf,1
Wheat,2
Wheel,1
Whisk,1
Wig,1
Wind,1
Windmill,1
Window,1
Wing,1
Wire,1
Wok,1
Wolf,4
Wood,1
Woodpecker,4
Wool,1
Wrench,1
Wryneck,4
Yak,4
Zebra,4
Zeppelin,5
Zinc,1
Zombie,4
Zoo,1
