pos_triplet
"coroner, involve, people"
"octopi, have, claw"
"squad, require, movement"
"concert, involve, music"
"bagpipes, have, color"
"abdomen, take, eletricity"
"lithograph, benefit, person"
"artist, make, something"
"person, hold, steamer"
"faceplate, hold, trash"
"person, use, cone"
"person, move, display"
"delegate, have, window"
"cash, use, electricity"
"notepad, have, leg"
"portion, cost, $"
"granola, use, electricity"
"canal, have, feather"
"child, enjoy, trouble"
"person, drive, snowball"
"golfing, have, function"
"person, lift, chairlift"
"person, eat, oven"
"person, eat, slicer"
"throwing, involve, cleaning"
"team, have, leg"
"person, buy, pluto"
"paper, play, music"
"man, use, lane"
"lime, have, pit"
"gull, weigh, anything"
"tree, have, wiring"
"person, touch, internet"
"clown, take, lot"
"brat, cost, money"
"burrito, require, battery"
"bison, have, scale"
"person, drink, baptism"
"sticks, need, electricity"
"person, wear, pothole"
"secret, involve, government"
"shout, make, sound"
"writer, use, number"
"firewood, have, shape"
"person, buy, some"
"person, use, worm"
"baron, require, more"
"listener, involve, weapon"
"person, eat, hellhound"
"conch, eat, food"
"person, mold, ammonia"
"whale, have, hole"
"person, drive, men"
"person, drive, whetstone"
"person, touch, pantyhose"
"boiler, require, maintenance"
"person, drive, boutique"
"ringtail, require, cage"
"whale, have, leg"
"person, watch, tombstone"
"person, touch, bass"
"mug, have, handle"
"fumigator, involve, science"
"kid, use, slacks"
"firefighter, fight, fire"
"present, cost, $"
"institution, make, noise"
"cup, need, battery"
"person, smell, romaine"
"abortion, emit, light"
"foundation, take, electricity"
"person, eat, can"
"people, use, raincoat"
"lion, eat, grass"
"person, drink, ground"
"person, climb, turtle"
"steersman, involve, healthcare"
"quake, make, noise"
"tonsillectomy, involve, reunion"
"person, use, vaccine"
"person, see, thoughts"
"human, sell, stewpot"
"chameleon, change, color"
"person, sell, signal"
"person, eat, ladle"
"people, use, mainframe"
"someone, build, casket"
"baptizer, involve, number"
"penthouse, have, color"
"blaster, make, sound"
"person, eat, traps"
"outlet, control, electricity"
"baboon, have, fur"
"soil, serve, purpose"
"cash, tell, time"
"squirrel, have, claw"
"person, eat, goldsmith"
"armpits, have, odor"
"man, use, tampon"
"person, drive, carousel"
"person, hold, tonic"
"person, buy, nest"
"person, build, ammonium"
"juror, have, fur"
"pool, contain, water"
"jackrabbit, have, antler"
"revolver, use, fuel"
"art, have, rule"
"clock, help, human"
"flute, make, sound"
"lectern, hold, book"
"turtle, have, money"
"doppelganger, involve, breathing"
"nudist, wear, clothes"
"tit, throw, baseball"
"elephant, have, trunk"
"gumshoe, have, leg"
"plating, have, feeling"
"goat, have, fur"
"person, touch, wetland"
"person, eat, neckerchief"
"large, hold, thing"
"suppository, have, seat"
"exhibitionist, involve, movement"
"alcohol, have, color"
"boob, have, electron"
"people, eat, poop"
"person, eat, faucet"
"person, see, bass"
"solicitor, require, use"
"people, eat, tick"
"hombre, have, feeling"
"child, have, shape"
"rabbit, have, spot"
"superstructure, require, electricity"
"person, eat, teapot"
"person, wear, gauntlet"
"cabdriver, involve, uniform"
"dart, take, battery"
"album, use, electricity"
"store, have, policy"
"people, hunt, deer"
"voyage, take, place"
"person, hold, granite"
"person, use, waxwork"
"pantyhose, have, stuffing"
"drum, make, sound"
"person, smell, polygraph"
"receiver, use, electricity"
"person, eat, change"
"person, consume, plating"
"weeds, have, thorns"
"playlist, have, spot"
"hideout, require, communication"
"webbing, require, electricity"
"person, see, neuropsychologist"
"person, eat, jailer"
"brontosaurus, have, leg"
"person, use, autobiography"
"bison, have, feather"
"diamond, cost, lot"
"rock, involve, technology"
"concubine, have, child"
"army, involve, shooting"
"manicotti, require, refrigeration"
"person, see, eczema"
"prints, make, noise"
"crust, make, sound"
"lambskin, use, electricity"
"person, touch, workroom"
"watch, have, petal"
"chicken, deliver, letter"
"fawn, have, horn"
"chinaware, cost, money"
"kid, use, skateboard"
"napkin, have, odor"
"person, wear, casket"
"person, eat, undershorts"
"kid, use, tea"
"person, wear, chairlift"
"blind, have, wheel"
"greenback, have, size"
"artist, cost, $"
"restaurant, serve, humblepie"
"hymn, hurt, person"
"shark, have, finger"
"person, hold, linoleum"
"bachelorette, make, money"
"tetherball, have, handle"
"person, wear, firewood"
"intern, wear, uniform"
"tablespoonful, have, spout"
"clock, cook, thing"
"person, see, typist"
"blanket, attack, human"
"headquarters, sell, something"
"ragamuffin, have, job"
"mustang, have, hoove"
"kid, like, seashore"
"person, see, headache"
"many, visit, storehouse"
"person, eat, testicle"
"hearse, require, sunlight"
"teach, involve, parenthood"
"person, consume, alcohol"
"sun, feed, chrysanthemum"
"ethyl, contain, tree"
"depot, sell, table"
"person, drink, bleach"
"crayfish, have, lot"
"person, use, pepper"
"wall, have, child"
"suite, make, sound"
"lemon, have, thorns"
"ground, have, leg"
"carpentry, involve, wood"
"breath, have, color"
"speaker, help, people"
"child, use, smoke"
"watch, have, finger"
"senator, involve, shopping"
"choreographer, use, gas"
"plumber, solve, problem"
"guy, lay, egg"
"person, smoke, griddlecakes"
"person, eat, methane"
"person, own, freedom"
"person, touch, kimono"
"ghostbuster, involve, supernatural"
"person, borrow, contentment"
"bamboo, have, feeling"
"person, eat, mainframe"
"shrimp, have, fin"
"mouse, like, bone"
"person, eat, cashbook"
"man, wear, smock"
"raider, require, degree"
"nun, take, vacation"
"train, have, wheel"
"person, trim, hydroxide"
"taxi, provide, service"
"adult, make, sound"
"generator, use, gas"
"pant, produce, light"
"person, eat, triceratops"
"canal, have, wing"
"suture, have, handle"
"human, use, triceratops"
"juror, make, sound"
"hemoglobin, make, noise"
"conduct, cost, money"
"swimming, involve, cooking"
"forceps, cook, food"
"mule, have, horn"
"person, eat, vise"
"person, find, liter"
"person, touch, practical"
"computer, require, electricity"
"arch, make, light"
"ccan, hold, poultry"
"kangaroo, have, tail"
"widow, prepare, food"
"square, have, corner"
"lamp, take, electricity"
"kid, use, glass"
"space, have, color"
"person, touch, sugarplum"
"shower, have, wheel"
"person, buy, tendon"
"person, turn, moviemaker"
"alloy, have, ability"
"gear, cost, money"
"poison, produce, something"
"epitaph, involve, water"
"person, wear, harvester"
"fixer, have, eye"
"doctor, imply, title"
"ant, weigh, lot"
"person, open, tinderbox"
"depot, sell, pitcher"
"people, want, extinguisher"
"deed, change, shape"
"cornea, understand, emotion"
"corkboard, have, door"
"floodplain, hold, mail"
"person, play, pamphlet"
"human, have, leg"
"person, eat, origami"
"person, eat, businessman"
"person, touch, mount"
"person, eat, joist"
"volunteer, pay, more"
"meetinghouse, have, window"
"good, have, wheel"
"sunfish, have, fin"
"person, drive, timecard"
"human, have, brain"
"cutter, make, hole"
"goldsmith, require, thing"
"springboard, have, wheel"
"person, drink, distillery"
"person, wear, burger"
"salesperson, involve, sale"
"cornfield, have, flower"
"merchandise, have, meat"
"person, eat, map"
"bladder, have, leg"
"vegan, eat, animal"
"feather, make, noise"
"stag, have, fur"
"generator, provide, electricity"
"human, sell, taste"
"pane, use, electricity"
"cow, have, leg"
"person, wear, tablet"
"boat, use, waterfall"
"person, eat, sailcloth"
"sand, speak, language"
"things, involve, competition"
"hurdle, have, wheel"
"person, hold, vitamins"
"ballplayer, wear, clothes"
"flower, have, smell"
"clarinetist, clean, thing"
"hydroponics, hold, water"
"bedchamber, use, electricity"
"hock, have, hoove"
"marriage, require, communication"
"civilian, use, blimp"
"person, keep, excavation"
"person, smell, radon"
"bikini, use, electricity"
"person, touch, air"
"sunray, make, sound"
"cumin, contain, something"
"person, buy, brazier"
"torpedo, collect, water"
"suburbia, use, cable"
"ambulance, have, gear"
"person, drive, piano"
"people, breathe, air"
"hornpipe, require, fuel"
"mist, change, shape"
"alcohol, make, something"
"person, touch, jujitsu"
"cat, have, fur"
"person, read, fan"
"detector, have, button"
"people, use, landline"
"person, eat, tablet"
"nightwear, give, light"
"people, use, rosary"
"person, touch, love"
"ducktail, have, wheel"
"pamphlet, control, something"
"photojournalist, have, leave"
"person, throw, airplane"
"supervisor, manage, people"
"child, use, sled"
"dachshund, like, bone"
"person, wear, window"
"crop, have, flower"
"crab, have, leg"
"satellite, collect, information"
"floodgate, use, electricity"
"people, see, bottle"
"locomotive, use, electricity"
"person, read, narcotics"
"person, use, rainbow"
"cloud, change, shape"
"person, eat, bioluminescence"
"eggplant, have, eye"
"everyone, have, food"
"relight, involve, touch"
"people, use, investment"
"person, use, aquarium"
"yellows, have, shape"
"birthmark, take, electricty"
"kid, use, ladle"
"person, touch, prizefighter"
"goose, lay, egg"
"flashlight, have, handle"
"crayon, hold, money"
"person, wear, basin"
"bird, have, gill"
"stone, require, battery"
"person, see, goldsmith"
"ethanol, have, smell"
"detective, involve, people"
"person, eat, disclaimer"
"medicine, provide, service"
"cook, involve, food"
"person, eat, prizefighter"
"person, throw, postcard"
"doctor, use, crematorium"
"pinball, have, button"
"people, use, memoranda"
"duck, have, wafe"
"dagger, take, battery"
"pen, cost, dollar"
"pickle, have, drawer"
"person, pet, rooster"
"person, purchase, foam"
"tonic, involve, voting"
"person, hold, carport"
"person, use, barrier"
"bulldog, wear, collar"
"fruit, have, skin"
"monologue, involve, more"
"moon, have, leg"
"person, buy, death"
"gator, have, claw"
"person, eat, doorkeeper"
"cup, hold, water"
"sportsman, have, feeling"
"washbowl, involve, writing"
"someone, buy, enema"
"clubhouse, have, lot"
"heater, produce, heat"
"nerd, have, scale"
"person, eat, newsletter"
"copier, require, power"
"speed, have, thorns"
"million, have, color"
"postponement, have, leg"
"beef, have, fur"
"lion, eat, plant"
"bagpipe, have, wheel"
"cardinal, have, beak"
"tulip, require, sunlight"
"hernia, weigh, thing"
"garden, help, people"
"dolphin, have, lung"
"everyone, have, bath"
"board, have, screen"
"people, use, calendar"
"burrow, have, restroom"
"person, eat, blacktop"
"person, wear, calender"
"person, use, dumbwaiter"
"herbivore, have, fur"
"skin, provide, warmth"
"kid, use, trophy"
"person, use, nutcracker"
"kin, involve, industry"
"verdict, have, scent"
"volleyball, make, music"
"child, use, snowstorm"
"person, eat, spareribs"
"person, buy, sweetener"
"elbow, decompose, thing"
"jar, have, cap"
"blender, blend, food"
"insect, have, antennae"
"trumpet, make, noise"
"child, use, book"
"person, wear, pedal"
"adventurer, have, leg"
"buckskin, have, wheel"
"suppository, make, sound"
"filer, have, wheel"
"hubcap, use, electricity"
"axes, have, action"
"prairie, grow, fruit"
"cement, have, sugar"
"person, hold, ocean"
"person, touch, fork"
"shilling, tell, time"
"person, eat, trophy"
"person, touch, poolroom"
"person, cook, thickener"
"scallop, make, sound"
"ceremony, involve, more"
"person, smell, gyro"
"doctor, involve, science"
"person, eat, breadbox"
"tax, transport, goods"
"striptease, lay, egg"
"people, see, carriage"
"person, carry, mountain"
"tusk, have, bubble"
"rock, require, electricity"
"person, hold, cabin"
"violinist, utilize, tool"
"person, wear, loop"
"person, build, sky"
"person, wear, tree"
"human, eat, jam"
"railway, hold, cargo"
"politician, have, head"
"clerk, require, education"
"human, use, zebra"
"hammock, make, noise"
"person, touch, scope"
"kid, use, knob"
"calligrapher, cost, money"
"people, use, leakage"
"mixer, require, electricity"
"trekker, have, handle"
"bottle, have, glass"
"person, lift, foyer"
"person, throw, router"
"person, touch, desk"
"woman, use, clicker"
"fingernail, have, smell"
"person, use, crematorium"
"person, want, mold"
"theater, involve, art"
"bulb, emit, light"
"childbed, cook, anything"
"computer, play, music"
"cow, have, udder"
"dead, make, noise"
"airplay, put, piece"
"tobacco, have, color"
"person, eat, barometer"
"bathtub, cost, $"
"cat, have, whisker"
"origami, need, phone"
"hustler, have, job"
"pets, speak, english"
"person, see, park"
"sun, change, color"
"person, eat, sod"
"person, eat, tearoom"
"cranium, require, electricity"
"sitter, involve, landscaping"
"animal, use, hernia"
"penguin, eat, zebra"
"person, eat, toymaker"
"person, drive, carbonate"
"brake, have, root"
"lion, have, fur"
"people, use, plasterer"
"screenplay, serve, purpose"
"person, read, shavings"
"person, wear, underpants"
"person, eat, consider"
"doctor, require, education"
"cup, have, lid"
"chest, produce, information"
"condor, have, tail"
"woman, use, glue"
"person, feel, sidebar"
"pileup, make, noise"
"person, touch, nip"
"person, use, coolant"
"friend, climb, tree"
"newspaper, have, wall"
"ostrich, have, wing"
"maintain, take, battery"
"plant, need, water"
"rain, provide, service"
"fish, have, legg"
"skeleton, make, lot"
"axes, have, part"
"person, hit, tearoom"
"person, see, man"
"duck, lay, egg"
"bee, use, dirt"
"chair, have, wheel"
"throne, serve, purpose"
"halfpenny, require, electricity"
"person, eat, matchbox"
"trees, bear, fruit"
"fisheye, have, engine"
"person, drink, abuser"
"laptop, involve, support"
"person, eat, breather"
"gravel, make, noise"
"lipstick, cost, $"
"rose, transport, people"
"game, require, cable"
"people, drink, toner"
"bushel, have, wheel"
"key, open, door"
"person, smoke, rope"
"worm, have, leg"
"man, carry, car"
"sheep, have, leg"
"avocado, have, pit"
"person, open, sugar"
"morphine, make, sound"
"kid, use, crossways"
"windsock, hold, water"
"human, see, apple"
"whirlybird, have, wheel"
"person, touch, chance"
"sleepwear, clean, something"
"veterinarian, have, leg"
"nurse, provide, service"
"entranceway, use, electricity"
"person, milk, razorback"
"kitten, make, noise"
"abdomen, change, color"
"slammer, control, electricity"
"person, read, poison"
"caddie, use, electricity"
"temptress, like, people"
"person, drive, riverbank"
"person, eat, lager"
"person, buy, light"
"person, wear, magazine"
"person, ride, pegboard"
"meetinghouse, have, restroom"
"cufflink, have, wheel"
"barracuda, have, leg"
"people, buy, sapphire"
"chickadee, have, leg"
"garment, make, noise"
"man, use, bra"
"person, eat, roofline"
"slime, change, shape"
"nutcracker, open, lid"
"kitchenware, hold, food"
"person, roll, fork"
"tit, like, cheeseburger"
"sticker, have, feeling"
"men, make, sound"
"casket, have, window"
"spittoon, fix, thing"
"sink, hold, water"
"child, understand, baby"
"chinchilla, eat, fruit"
"person, hold, ferryboat"
"person, keep, sprayer"
"person, hold, moon"
"human, use, teacher"
"slug, make, noise"
"vibrator, cost, lot"
"breast, have, handle"
"tablespoonful, have, pattern"
"adult, use, scrambler"
"sandwich, involve, food"
"accountant, require, office"
"contestant, have, brain"
"spices, grill, anything"
"person, wear, keystroke"
"picket, have, wheel"
"person, buy, flathead"
"people, make, campfire"
"person, eat, cabin"
"cipher, involve, car"
"person, ingest, midsection"
"person, wear, riddle"
"person, wear, prune"
"riches, save, life"
"thief, sell, thing"
"person, wear, sand"
"bowl, hold, object"
"milk, cost, more"
"person, lift, store"
"person, wear, eggbeater"
"hairdryer, check, rate"
"pavement, have, handle"
"searcher, have, leg"
"pie, involve, food"
"rabbit, have, fur"
"appetizer, have, screen"
"tusk, make, noise"
"magazine, involve, support"
"person, need, blacktop"
"wienie, have, stripe"
"person, hold, hickey"
"person, eat, octopi"
"person, buy, quickness"
"papaya, use, electricity"
"ammo, have, heartbeat"
"checkers, have, wheel"
"tonsillectomy, cost, money"
"person, buy, camisole"
"supervisor, have, leg"
"person, touch, relaxing"
"kid, use, school"
"human, require, blood"
"person, see, person"
"human, drive, car"
"councilwoman, require, degree"
"person, move, speed"
"thickener, make, noise"
"waterpipe, involve, plumbing"
"sixpence, use, electricity"
"person, climb, idea"
"scientist, have, hair"
"person, touch, pharmacy"
"human, eat, meat"
"human, have, electron"
"cream, support, structure"
"sailor, need, boat"
"knickers, use, electricity"
"excavation, hurt, person"
"string, require, electricity"
"goddaughter, wear, dress"
"rain, require, human"
"person, eat, tusk"
"horse, eat, leave"
"carnation, make, noise"
"breadwinner, have, eye"
"sidecar, hold, ice"
"person, wear, buffet"
"person, sell, ghost"
"hamster, have, feeling"
"emt, have, gear"
"suburbia, have, battery"
"poinsettia, involve, game"
"bowl, hold, water"
"person, feel, blackface"
"way, make, noise"
"moon, involve, person"
"people, buy, ammonium"
"crepe, make, noise"
"lights, use, electricity"
"person, drink, bioluminescence"
"boat, require, water"
"microprocessor, play, music"
"drunkenness, involve, human"
"raincoat, use, electricity"
"person, lift, component"
"people, wear, cinder"
"person, smash, signature"
"husband, cost, lot"
"instructor, involve, more"
"person, consume, jailbait"
"bowels, teach, something"
"crawler, involve, plant"
"person, see, precipitation"
"sparkplug, use, internet"
"sweatbox, need, power"
"plant, require, water"
"soloist, provide, entertainment"
"anyone, use, fertilizer"
"kid, use, car"
"people, like, sewage"
"people, use, ghost"
"snapper, have, fur"
"person, wear, avocado"
"man, have, wheel"
"person, touch, specks"
"kid, use, computer"
"nurse, involve, education"
"subcontractor, have, finger"
"tractor, require, sorce"
"person, wear, fever"
"elm, have, leave"
"people, use, clef"
"toke, make, call"
"borough, have, wheel"
"shark, have, parasite"
"pet, use, bowl"
"mop, clean, thing"
"people, eat, depositor"
"orchard, grow, fruit"
"moth, lay, egg"
"crab, have, shell"
"barbershop, change, shape"
"metropolis, involve, outdoors"
"almanac, have, electrtical"
"honker, have, trailer"
"acrobat, involve, fighting"
"officer, arrest, people"
"thermomiter, take, temperature"
"people, read, newspaper"
"person, wear, bowtie"
"laptop, involve, electronics"
"hound, have, arm"
"jackal, have, leg"
"chef, require, uniform"
"checkbook, have, metal"
"subcontractor, have, nose"
"sunburn, take, battery"
"person, throw, time"
"politician, involve, politics"
"car, have, part"
"kid, use, turpentine"
"iguana, have, fur"
"service, involve, sale"
"person, touch, host"
"human, use, flares"
"apple, have, peel"
"person, buy, human"
"person, hold, tribe"
"speedboat, require, electric"
"hatchback, have, wheel"
"person, hold, cloud"
"kid, use, trickshots"
"oxbow, have, feeling"
"human, wear, assets"
"party, use, electricity"
"saddle, require, water"
"plate, make, hole"
"pitchfork, use, battery"
"baseball, involve, sport"
"person, touch, gourd"
"dinosaur, eat, meat"
"person, hold, cytoplasm"
"person, climb, attire"
"angleworm, have, fur"
"chunk, require, electricity"
"gondola, require, electricity"
"person, wear, bible"
"person, ride, exerciser"
"concrete, need, rain"
"people, wear, bedchamber"
"transceiver, give, heat"
"person, smell, foyer"
"box, store, anything"
"footnote, involve, math"
"spacecraft, use, technology"
"person, buy, ocean"
"person, lift, governess"
"chlorine, involve, water"
"insomniac, have, motor"
"cufflink, make, sound"
"people, use, ibuprofen"
"ox, have, fur"
"clarinetist, have, wing"
"tiger, have, fur"
"horseshoe, have, feeling"
"mechanic, use, typewriter"
"guy, have, udder"
"casserole, have, noodle"
"saucer, use, electricity"
"person, eat, crutch"
"person, move, bioluminescence"
"coordinator, own, pet"
"correspondent, have, hand"
"pothandles, open, lid"
"trophy, make, noise"
"salespeople, provide, service"
"person, drive, lager"
"horse, eat, grass"
"book, use, electricity"
"ghost, wear, makeup"
"person, use, documentation"
"human, like, sideline"
"palette, require, electricity"
"clambake, involve, sky"
"person, hire, loner"
"lightbulb, use, electricity"
"runway, conduct, heat"
"people, hold, airplane"
"car, take, gas"
"migrant, involve, room"
"people, own, soundtrack"
"piston, make, sound"
"concubine, drive, car"
"crackpot, involve, people"
"wonder, provide, service"
"people, use, enema"
"waterwheel, need, water"
"dj, make, sound"
"axle, have, leg"
"computer, have, technology"
"firefighter, have, leg"
"handiwork, involve, chisel"
"prong, have, tine"
"person, touch, dune"
