Item,Size,Phase,Sentience,Weight,Rigidity
Leader,6,3,4,5,2
Follower,5,3,3,4,2
Believer,5,3,3,4,2
Priest,6,3,4,5,2
Nun,5,3,3,4,2
Monk,5,3,3,4,2
Friar,5,3,3,4,2
Bishop,6,3,4,5,2
Cardinal,6,3,4,5,2
Pope,6,3,4,5,2
Minister,6,3,4,5,2
Rabbi,6,3,4,5,2
Imam,6,3,4,5,2
Prophet,6,3,4,5,2
Saint,6,3,4,5,2
Angel,6,1,1,5,1
Demon,6,1,1,5,1
Devil,6,1,1,5,1
Spirit,6,1,1,5,1
Soul,6,1,1,5,1
Shadow,6,1,1,5,1
Light,6,1,1,5,1
Flame,4,1,1,2,1
Fire,6,1,1,5,1
Smoke,6,1,1,5,1
Ash,3,1,1,1,1
Ember,3,1,1,1,1
Spark,3,1,1,1,1
Thunder,6,1,1,5,1
Storm,8,1,1,6,1
Hurricane,8,1,1,6,1
Tornado,8,1,1,6,1
Cyclone,8,1,1,6,1
Blizzard,8,1,1,6,1
Snowflake,1,1,1,1,1
Icicle,3,3,1,1,4
Frost,1,1,1,1,1
Dew,1,1,1,1,1
Raindrop,1,1,1,1,1
Puddle,3,2,1,1,1
Mud,3,2,1,1,2
Dirt,3,3,1,1,2
Soil,3,3,1,1,2
Sand,3,3,1,1,2
Pebble,3,3,1,1,3
Stone,4,3,1,2,4
Rock,4,3,1,2,4
Boulder,5,3,1,3,4
Crystal,3,4,1,1,4
Gem,3,4,1,1,4
Jewel,3,4,1,1,4
Diamond,3,4,1,1,5
Ruby,3,4,1,1,5
Sapphire,3,4,1,1,5
Emerald,3,4,1,1,5
Gold,3,4,1,1,5
Silver,3,4,1,1,5
Bronze,3,4,1,1,5
Copper,3,4,1,1,5
Iron,4,4,1,2,5
Steel,4,4,1,2,5
Aluminum,4,4,1,2,4
Plastic,4,3,1,2,3
Rubber,4,3,1,2,3
Glass,4,3,1,2,4
Ceramic,4,3,1,2,4
Cloth,4,3,1,2,3
Wool,3,3,1,1,2
Cotton,3,3,1,1,2
Silk,3,3,1,1,2
Leather,4,3,1,2,3
Paper,3,3,1,1,2
Cardboard,4,3,1,2,3
String,3,3,1,1,2
Rope,4,3,1,2,3
Chain,4,3,1,2,5
Wire,4,3,1,2,5
Cable,5,3,1,3,5
Battery,4,3,1,2,4
Switch,3,3,1,1,4
Button,3,3,1,1,4
Dial,3,3,1,1,4
Knob,3,3,1,1,4
Handle,4,3,1,2,4
Wheel,5,3,1,3,4
Axle,5,3,1,3,5
Engine,5,3,1,3,5
Motor,5,3,1,3,5
Gear,4,3,1,2,5
Bolt,3,3,1,1,5
Screw,3,3,1,1,5
Nail,3,3,1,1,5
Hammer,4,3,1,2,4
Wrench,4,3,1,2,5
Pliers,4,3,1,2,4
Saw,5,3,1,3,5
Drill,5,3,1,3,5
Shovel,5,3,1,3,5
Rake,5,3,1,3,5
Hoe,5,3,1,3,5
Pickaxe,5,3,1,3,5
Axe,5,3,1,3,5
Hatchet,4,3,1,2,4
Knife,4,3,1,2,4
Blade,4,3,1,2,4
Scissors,3,3,1,1,4
Shears,4,3,1,2,4
Comb,3,3,1,1,4
Brush,4,3,1,2,3
Mirror,4,3,1,2,5
Window,6,3,1,5,5
Door,6,3,1,5,5
Gate,6,3,1,5,5
Fence,6,3,1,5,5
Wall,6,3,1,5,5
Ceiling,6,3,1,5,5
Floor,6,3,1,5,5
Roof,6,3,1,5,5
Chimney,6,3,1,5,5
Fireplace,6,3,1,5,5
Oven,5,3,1,3,5
Stove,5,3,1,3,5
Sink,5,3,1,3,5
Faucet,4,3,1,2,5
Toilet,5,3,1,3,5
Bath,5,3,1,3,5
Shower,5,3,1,3,5
Towel,4,3,1,2,2
Soap,3,3,1,1,2
Shampoo,3,3,1,1,1
Toothbrush,3,3,1,1,3
Toothpaste,3,3,1,1,1
Floss,2,3,1,1,2
Razor,3,3,1,1,4
Lantern,4,3,1,2,4
Suitcase,4,3,1,3,4
Backpack,4,3,1,3,3
Tent,5,3,1,3,4
Flashlight,4,3,1,2,4
Compass,3,3,1,1,4
Map,3,3,1,1,2
Binoculars,4,3,1,2,4
Gloves,3,3,1,1,2
Scarf,3,3,1,1,2
Belt,3,3,1,1,3
Wallet,3,3,1,1,3
Purse,3,3,1,1,3
Watch,3,3,1,1,4
Necklace,3,3,1,1,3
Bracelet,3,3,1,1,3
Ring,3,3,1,1,4
Earrings,3,3,1,1,4
Brooch,3,3,1,1,4
Badge,3,3,1,1,4
Medal,3,3,1,1,5
Trophy,5,3,1,2,5
Award,5,3,1,2,4
Flag,5,3,1,2,3
Poster,4,3,1,2,2
Sign,4,3,1,3,4
Magazine,4,3,1,2,2
Journal,4,3,1,2,2
Diary,3,3,1,1,2
Calendar,4,3,1,2,2
Clock,4,3,1,2,4
Alarm,3,3,1,1,4
Globe,5,3,1,3,4
Atlas,5,3,1,2,2
Shelf,5,3,1,3,5
Drawer,5,3,1,3,4
Cabinet,5,3,1,3,4
Closet,5,3,1,3,4
Bed,5,3,1,4,3
Mattress,5,3,1,3,2
Pillow,4,3,1,2,2
Blanket,4,3,1,2,2
Quilt,4,3,1,2,2
Sheet,4,3,1,2,2
Curtain,4,3,1,2,2
Blinds,4,3,1,2,4
Rug,4,3,1,3,3
Carpet,5,3,1,3,3
Tile,4,3,1,3,5
Marble,5,4,1,4,5
Granite,5,4,1,4,5
Concrete,6,4,1,5,5
Bricks,5,4,1,4,5
Wood,4,3,1,3,4
Log,5,3,1,4,4
Twig,2,3,1,1,3
Branch,4,3,1,2,4
Leaf,2,3,1,1,2
Pinecone,3,3,1,1,4
Acorn,3,3,1,1,4
Moss,2,3,1,1,2
Fern,3,3,1,1,2
Bush,4,3,1,3,3
Shrub,4,3,1,3,3
Hedge,5,3,1,3,4
Vine,4,3,1,2,3
Cactus,4,3,1,3,3
Bamboo,5,3,1,3,4
Palm,6,3,1,4,4
Willow,6,3,1,4,4
Oak,6,3,1,5,5
Maple,6,3,1,5,5
Pine,6,3,1,5,5
Fir,6,3,1,5,5
Spruce,6,3,1,5,5
Cedar,6,3,1,5,5
Redwood,8,3,1,6,5
Birch,6,3,1,5,4
Apple,3,3,1,1,2
Orange,3,3,1,1,2
Banana,3,3,1,1,2
Grapes,3,3,1,1,1
Peach,3,3,1,1,2
Plum,3,3,1,1,2
Pear,3,3,1,1,2
Cherry,2,3,1,1,2
Mango,3,3,1,1,2
Papaya,3,3,1,1,2
Kiwi,2,3,1,1,2
Lemon,3,3,1,1,2
Lime,3,3,1,1,2
Tomato,3,3,1,1,2
Cucumber,4,3,1,2,2
Carrot,3,3,1,1,3
Potato,3,3,1,1,3
Onion,3,3,1,1,3
Garlic,2,3,1,1,3
Pepper,3,3,1,1,2
Chili,2,3,1,1,2
Bean,2,3,1,1,2
Pea,2,3,1,1,2
Corn,3,3,1,1,3
Wheat,3,3,1,1,3
Rice,2,3,1,1,2
Oats,2,3,1,1,2
Barley,3,3,1,1,3
Lettuce,3,3,1,1,1
Spinach,3,3,1,1,1
Kale,3,3,1,1,1
Broccoli,4,3,1,2,3
Cabbage,4,3,1,2,3
Pumpkin,5,3,1,3,3
Squash,5,3,1,3,3
Zucchini,4,3,1,2,3
Eggplant,4,3,1,2,3
Radish,3,3,1,1,3
Turnip,3,3,1,1,3
Beet,3,3,1,1,3
Celery,4,3,1,2,2
Mushroom,3,3,1,1,2
Fungus,2,3,1,1,2
Seaweed,4,3,1,2,1
Coral,4,3,1,3,4
Reef,8,3,1,7,4
Fish,4,2,2,3,2
Shark,6,2,3,5,3
Whale,7,2,3,7,3
Dolphin,6,2,3,5,3
Seal,5,2,3,4,3
Otter,5,2,3,4,3
Beaver,5,3,3,4,3
Rat,3,3,3,2,2
Squirrel,4,3,3,2,2
Chipmunk,4,3,3,2,2
Rabbit,4,3,3,3,2
Hare,4,3,3,3,2
Deer,5,3,4,4,3
Moose,6,3,4,5,3
Elk,6,3,4,5,3
Buffalo,6,3,4,5,3
Bison,6,3,4,5,3
Giraffe,6,3,4,5,3
Kangaroo,5,3,4,4,3
Koala,4,3,4,3,2
Panda,5,3,4,4,3
Leopard,5,3,4,4,3
Cheetah,5,3,4,4,3
Panther,5,3,4,4,3
Cougar,5,3,4,4,3
Lynx,5,3,4,4,3
Bobcat,4,3,3,3,2
Wolf,5,3,4,4,3
Coyote,5,3,4,4,3
Fox,4,3,3,3,2
Jackal,5,3,4,4,3
Hyena,5,3,4,4,3
Aardvark,5,3,3,4,3
Armadillo,4,3,3,3,3
Sloth,4,3,3,3,2
Anteater,5,3,3,4,3
Porcupine,4,3,3,3,3
Hedgehog,3,3,3,2,3
Skunk,4,3,3,3,2
Weasel,4,3,3,3,2
Badger,5,3,3,4,3
Mongoose,4,3,3,3,2
Meerkat,4,3,3,3,2
Lemur,4,3,3,3,2
Monkey,5,3,4,4,2
Gorilla,6,3,4,5,3
Baboon,5,3,4,4,3
Parrot,4,3,3,2,2
Cockatoo,4,3,3,2,2
Macaw,4,3,3,2,2
Toucan,4,3,3,2,2
Peacock,5,3,3,3,2
Pheasant,4,3,3,3,2
Quail,4,3,3,2,2
Turkey,5,3,3,3,2
Vulture,5,3,3,3,3
Eagle,5,3,4,4,3
Hawk,5,3,4,4,3
Falcon,5,3,4,4,3
Owl,4,3,3,3,2
Seagull,4,3,2,3,2
Pelican,5,3,3,3,2
Albatross,5,3,3,3,2
Cormorant,5,3,3,3,2
Heron,5,3,3,3,2
Stork,5,3,3,3,2
Flamingo,5,3,3,3,2
Ibis,5,3,3,3,2
Spoonbill,5,3,3,3,2
Crane,5,3,3,3,2
Swallow,4,3,2,3,2
Robin,4,3,2,3,2
Sparrow,3,3,2,2,2
Finch,3,3,2,2,2
Canary,3,3,2,2,2
Warbler,3,3,2,2,2
Thrush,4,3,2,3,2
Woodpecker,4,3,3,3,3
Kingfisher,4,3,3,3,3
Hummingbird,3,3,2,1,2
Magpie,4,3,3,3,3
Crow,4,3,3,3,3
Raven,4,3,3,3,3
Jay,4,3,3,3,3
Starling,4,3,2,3,2
Myna,4,3,2,3,2
Blackbird,4,3,2,3,2
Oriole,4,3,2,3,2
Bunting,4,3,2,3,2
Waxwing,4,3,2,3,2
Flycatcher,4,3,2,3,2
Shrike,4,3,2,3,2
Pipit,4,3,2,3,2
Wagtail,4,3,2,3,2
Sandpiper,4,3,2,3,2
Plover,4,3,2,3,2
Lapwing,4,3,2,3,2
Skimmer,4,3,2,3,2
Tern,4,3,2,3,2
Gull,4,3,2,3,2
Petrel,4,3,2,3,2
Shearwater,5,3,2,3,2
Fulmar,5,3,2,3,2
Puffin,4,3,2,3,3
Guillemot,4,3,2,3,3
Grebe,4,3,2,3,3
Loon,5,3,2,3,3
Shag,4,3,2,3,3
Booby,5,3,2,3,3
Gannet,5,3,2,3,3
Kiwi,4,3,3,2,3
Hoopoe,4,3,3,2,3
Roller,4,3,3,2,3
Hornbill,5,3,3,3,3
Barbet,4,3,3,2,3
Wryneck,4,3,3,2,3
Jacamar,4,3,3,2,3
Puffbird,4,3,3,2,3
Oilbird,4,3,3,2,3
Potoo,4,3,3,2,3
Screech,4,3,3,2,3
Snowy,4,3,3,2,3
Barn,7,3,1,6,4
Tawny,4,3,3,2,3
Elf,5,3,1,3,3
Spotted,5,3,1,3,3
Barred,5,3,1,3,3
Northern,5,3,1,3,3
Boreal,5,3,1,3,3
Mottled,5,3,1,3,3
Rusty,5,3,1,3,3
Crested,5,3,1,3,3
Seashell,3,3,1,1,3
Anchor,5,3,1,4,5
Canoe,5,3,1,4,4
Raft,5,3,1,4,4
Kayak,5,3,1,4,4
Rowboat,5,3,1,4,4
Snorkel,3,3,1,1,2
Harpoon,4,3,1,2,3
Buoy,5,3,1,3,4
Bait,2,3,1,1,1
Windmill,7,3,1,6,4
Waterwheel,7,3,1,6,4
Gramophone,5,3,1,4,4
Megaphone,5,3,1,4,3
Microphone,3,3,1,2,3
Headphones,3,3,1,2,3
Speakers,4,3,1,3,3
Radio,4,3,1,3,3
Tablet,4,3,1,2,3
Smartwatch,3,3,1,1,3
Joystick,3,3,1,1,3
Charger,3,3,1,1,2
Adapter,3,3,1,1,2
Router,4,3,1,2,3
Modem,4,3,1,2,3
Printer,5,3,1,3,4
Lathe,5,3,1,4,5
Anvil,5,3,1,4,5
Vise,5,3,1,4,5
Toolbox,5,3,1,4,4
Earplugs,2,3,1,1,2
Apron,3,3,1,1,2
Firetruck,7,3,1,6,5
Ambulance,7,3,1,6,5
Minivan,6,3,1,5,5
Tractor,6,3,1,5,5
Bulldozer,6,3,1,5,5
Crane,7,3,1,6,5
Forklift,6,3,1,5,5
Snowplow,6,3,1,5,5
Tow,6,3,1,5,5
Oil,3,2,1,2,1
Glider,6,3,1,5,4
Zeppelin,8,3,1,7,4
Jetpack,5,3,1,4,4
Starship,8,3,1,7,5
Station,8,3,1,7,5
Wind,3,1,1,1,1
Dam,8,3,1,7,5
Vehicle,6,3,1,5,5
Maglev,6,3,1,5,5
Hyperloop,6,3,1,5,5
Bullet,3,3,1,1,3
Cable,5,3,1,3,4
Gondola,6,3,1,5,4
Elevator,5,3,1,4,4
Winch,5,3,1,4,4
Pulley,4,3,1,3,3
Dock,6,3,1,5,4
Wharf,7,3,1,6,4
Pier,6,3,1,5,4
Harbor,7,3,1,6,4
Boathouse,6,3,1,5,4
Lighthouse,7,3,1,6,5
Wave,4,1,1,2,1
Sail,4,3,1,2,2
Mast,5,3,1,3,3
Boom,4,3,1,2,2
Rudder,5,3,1,3,3
Keel,5,3,1,3,3
Spyglass,3,3,1,2,3
Moat,6,3,1,5,4
Keep,7,3,1,6,5
Dungeon,6,3,1,5,4
Steeple,7,3,1,6,4
Nave,7,3,1,6,4
Altar,4,3,1,3,3
Chalice,3,3,1,2,3
Bible,4,3,1,3,3
Rosary,3,3,1,2,3
Menorah,4,3,1,3,3
Tallit,4,3,1,2,3
Kimono,4,3,1,2,2
Sari,4,3,1,2,2
Kilt,4,3,1,2,2
Poncho,4,3,1,2,2
Beret,3,3,1,2,2
Fedora,3,3,1,2,2
Tiara,3,3,1,1,3
Wig,3,3,1,1,1
Beard,3,3,1,1,1
Braids,3,3,1,1,1
Bun,3,3,1,1,1
Afro,3,3,1,1,1
Mohawk,3,3,1,1,1
Hairband,3,3,1,1,2
Barrette,3,3,1,1,2
Hairbrush,4,3,1,2,2
Comb,3,3,1,1,2
Lipstick,3,3,1,1,1
Eyeliner,3,3,1,1,1
Mascara,3,3,1,1,1
Blush,3,3,1,1,1
Powder,3,3,1,1,1
Tweezers,2,3,1,1,3
Epilator,3,3,1,1,3
Cologne,3,3,1,1,1
Perfume,3,3,1,1,1
Loofah,3,3,1,1,2
Toothpick,2,3,1,1,2
Mouthwash,3,3,1,1,1
Retainer,2,3,1,1,3
Braces,3,3,1,1,3
Scaler,3,3,1,1,3
Syringe,3,3,1,1,3
Needle,2,3,1,1,3
Scalpel,3,3,1,1,3
Retractor,3,3,1,1,3
Forceps,3,3,1,1,3
Tourniquet,4,3,1,2,3
Thermometer,3,3,1,1,3
Glucometer,3,3,1,1,3
EpiPen,3,3,1,1,3
Splint,4,3,1,2,3
Walker,5,3,1,3,4
Cane,4,3,1,2,3
Gurney,5,3,1,3,4
Catheter,2,3,1,1,2
Nebulizer,3,3,1,1,2
Inhaler,3,3,1,1,2
Spacer,3,3,1,2,2
Mask,4,3,1,2,3
Goggles,3,3,1,2,2
Scrubs,4,3,1,2,2
Gloves,3,3,1,2,2
Vase,4,3,1,3,3
Candle,3,3,1,2,2
Chalk,3,3,1,1,3
Soapstone,3,3,1,3,4
Ink,3,2,1,1,2
Quill,3,3,1,1,2
Pan,3,3,1,3,4
Whisk,3,3,1,2,3
Spatula,3,3,1,2,3
Mug,3,3,1,2,3
Basket,4,3,1,3,3
Cradle,5,3,1,4,4
Hook,3,3,1,2,3
Jar,3,3,1,2,3
Pail,4,3,1,3,4
Basin,4,3,1,3,4
Hinge,3,3,1,2,3
Bolt,3,3,1,2,3
Ladder,5,3,1,4,4
Sledge,5,3,1,4,4
Racket,4,3,3,3,3
Balloon,4,1,1,2,2
Kite,4,3,1,2,2
Bowtie,3,3,1,1,2
Tie,3,3,1,1,2
Cap,3,3,1,1,2
Boot,4,3,1,3,4
Slipper,4,3,1,3,3
Stool,4,3,1,3,3
Bench,5,3,1,4,4
Couch,5,3,1,5,4
Sofa,5,3,1,5,4
Mat,3,3,1,2,2
Gong,4,3,1,4,4
Bugle,4,3,1,3,3
Horn,4,3,1,3,3
Drum,4,3,1,3,3
Pipe,3,3,1,2,3
Harp,5,3,1,4,4
Piano,5,3,1,5,5
Violin,4,3,1,3,4
Guitar,5,3,1,4,4
Flute,4,3,1,2,3
Stick,3,3,1,2,3
Twig,2,3,1,1,2
Berry,2,3,1,1,2
Acorn,2,3,1,1,3
Fig,2,3,1,1,2
Nettle,3,3,1,1,2
Reed,3,3,1,1,2
Moth,2,3,2,1,2
Slug,2,3,2,1,2
Mule,5,3,4,5,3
Ox,5,3,4,5,3
Gnat,1,3,2,1,1
Wasp,2,3,2,1,3
Eel,3,3,2,2,2
Crab,3,3,2,2,3
Clam,3,3,2,2,3
Cod,3,3,2,2,2
Lung,3,3,1,2,2
Fin,3,3,1,2,3
Gill,3,3,1,1,2
Musk,3,2,1,1,1
Mane,3,3,1,2,2
Tail,4,3,1,3,3
Tooth,3,3,1,2,4
Claw,3,3,1,2,4
Hoof,4,3,1,3,4
Paw,3,3,1,2,3
Beak,3,3,1,2,3
Bill,3,3,1,2,3
Wing,4,3,1,3,3
Nest,4,3,1,3,3
Web,3,3,1,1,2
Den,3,3,1,2,3
Pit,3,3,1,2,3
Burrow,4,3,1,3,3
Hill,5,3,1,4,4
Colt,4,3,4,3,3
Foal,4,3,4,3,3
Calf,4,3,4,3,3
Cub,4,3,4,3,3
Kit,3,3,2,2,2
Chick,3,3,2,2,2
Pup,3,3,2,2,2
Buck,4,3,4,4,3
Doe,4,3,4,4,3
Ewe,4,3,4,4,3
Ram,4,3,4,4,3
Hen,4,3,2,3,2
Drake,4,3,2,3,2
Yak,5,3,4,5,4
Urn,3,3,1,2,3
Dye,3,2,1,1,2
Flask,3,3,1,2,3
Tank,5,3,1,5,5
Mask,4,3,1,2,3
Tube,4,3,1,2,3
Lead,4,3,1,4,5
Zinc,4,3,1,4,5
Tin,3,3,1,3,4
Grill,5,3,1,4,4
Hose,5,3,1,4,3
Bell,4,3,1,3,4
Anklet,3,3,1,1,2
Cane,4,3,1,3,4
Chime,4,3,1,3,3
Plow,5,3,1,5,5
Axel,4,3,1,3,4
Bolt,3,3,1,2,4
Wok,3,3,1,3,4
Rock,4,3,1,3,4
Sand,3,3,1,2,2
Mud,3,2,1,2,1
Shaft,5,3,1,4,4
Tile,4,3,1,3,4
Plank,5,3,1,4,4
Brush,4,3,1,2,2
Sword,5,3,1,4,5
Spade,5,3,1,4,5
Foam,3,1,1,1,1
Nail,3,3,1,1,4
Bark,3,3,1,2,3
Fern,3,3,1,1,1
Yarn,3,3,1,1,2
Bell,4,3,1,3,4
Flax,3,3,1,1,2
Cord,4,3,1,2,3
Lead,4,3,1,4,5
Gold,4,3,1,4,5
Iron,4,3,1,4,5
Lime,3,3,1,1,2
Soot,3,1,1,1,1
Coal,4,3,1,3,4
Dust,3,1,1,1,1
Wool,3,3,1,2,2
Brim,3,3,1,2,2
Arch,4,3,1,3,4
Bolt,3,3,1,2,4
Drum,4,3,1,3,3
Coin,3,3,1,1,4
Buck,4,3,4,4,3
Rack,5,3,1,4,4
Tank,5,3,1,5,5
Tool,4,3,1,3,4
Vice,4,3,1,3,4
Flap,3,3,1,1,2
Grid,4,3,1,3,4
Vest,4,3,1,2,3
Skirt,4,3,1,2,3
Robe,4,3,1,2,3
Hood,4,3,1,2,3
Cape,4,3,1,2,3
Horn,4,3,1,3,4
Egg,3,3,1,2,2
Nest,4,3,1,3,3
Pit,3,3,1,2,3
Den,3,3,1,2,3
Bur,3,3,1,1,3
