Item,label
Starling,3
Station,2
Steel,1
Steeple,4
Stick,1
Stone,1
Stork,3
Stove,3
Street,1
String,4
Student,4
Submarine,1
Suitcase,3
Surgeon,4
Swallow,3
Swamp,5
Swan,3
Swimmer,4
Syringe,3
Tablet,1
Tallit,3
Tank,1
Tank,1
Teacher,4
Tent,5
Tern,3
Thermometer,2
Thrush,3
Tiara,3
Tie,4
Tiger,4
Tomato,2
Tool,3
Toolbox,1
Tooth,3
Toothpaste,2
Toothpick,1
Tornado,5
Toucan,3
Tourist,4
Tourniquet,4
Towel,4
Tower,1
Tractor,2
Traveler,4
Tree,4
Trophy,3
Tube,1
Tundra,5
Turkey,3
Turnip,3
Turtle,4
Tweezers,2
Twig,4
Unicorn,4
Urn,2
Vampire,4
Vase,2
Vehicle,2
Vendor,4
Vest,4
Vice,3
Village,5
Vine,5
Violin,4
Vise,1
Visitor,4
Vulture,3
Walker,4
Wall,1
Wallet,4
Warbler,3
Warrior,4
Wasp,3
Watch,2
Waterwheel,4
Wave,5
Waxwing,3
Weasel,4
Web,5
Werewolf,4
Whale,4
Wharf,3
Wheat,4
Wheel,2
Whisk,3
Wig,5
Wind,5
Windmill,4
Window,1
Wing,4
Wire,1
Wok,1
Wolf,4
Wood,3
Woodpecker,3
Wool,4
Wrench,3
Wryneck,3
Yak,4
Zebra,4
Zeppelin,3
Zinc,3
Zombie,4
Zoo,5
